#{"t_start": 1734429533.7552483, "env_id": "CustomLunarLander-v3"}
r,l,t
34.063151,168,1253.421553
273.643704,404,1256.064198
251.052841,241,1257.666089
38.753774,162,1258.704237
250.124173,287,1260.555022
213.338932,309,1262.587811
-52.549138,146,1263.556443
212.483784,347,1265.824795
100.43209,633,1269.989626
-51.244086,200,1271.309827
-54.399595,173,1272.498027
1.409778,147,1273.481183
268.091485,570,1277.212395
258.814965,289,1279.110689
16.992917,161,1280.197337
245.591038,317,1282.239627
266.540465,249,1283.899357
173.222933,615,1287.932676
184.534324,312,1290.02598
-46.407317,215,1291.445707
246.476154,197,1292.717899
-44.051663,203,1294.05511
172.660597,694,1298.591839
222.113247,365,1300.962214
-111.711705,245,1302.540155
-12.92999,150,1303.549289
181.485259,400,1306.190594
266.618291,257,1307.86531
21.868669,146,1308.82796
15.891887,218,1310.254321
-42.568255,274,1312.075611
230.192297,412,1314.787178
-125.413159,202,1316.078848
239.584097,309,1318.099212
-33.468673,154,1319.10787
111.30341,1000,1325.652106
-61.797119,171,1326.786267
209.312027,278,1328.56752
236.303891,208,1329.919748
210.410843,358,1332.243614
267.267629,342,1334.495955
59.3935,148,1335.453599
-57.865496,171,1336.609267
228.823784,345,1338.850105
-61.093129,168,1339.94579
20.042854,170,1341.036445
-97.363728,247,1342.660671
-152.869283,152,1343.653831
-1.627032,179,1344.824018
27.726719,192,1346.096212
251.992726,213,1347.507429
283.507557,305,1349.498249
48.875746,139,1350.398885
-156.352419,134,1351.283999
210.923239,272,1353.047247
-128.31155,292,1354.942693
27.618779,152,1355.940865
286.264759,268,1357.716121
-265.460658,187,1358.958487
222.22274,222,1360.393235
-1.366465,182,1361.581913
6.97391,143,1362.527076
-232.750831,192,1364.473343
228.803139,314,1366.529132
198.399603,283,1368.351058
206.0881,382,1370.841412
-75.758808,235,1372.371801
11.416315,162,1373.432455
-155.892247,190,1374.678147
-7.927209,300,1376.655929
11.870415,151,1377.646086
245.713881,303,1379.651853
254.918709,370,1382.092245
-70.496263,266,1383.833513
-43.002944,150,1384.811662
214.054126,460,1387.837103
175.893823,206,1389.154311
65.725132,144,1390.093491
2.915586,231,1391.611604
232.960074,399,1394.209859
132.75656,1000,1400.782918
157.202088,492,1404.014411
268.867136,312,1406.081887
199.951594,274,1407.837123
230.573078,277,1409.647355
263.8985,409,1412.309288
232.582865,279,1414.151043
238.644764,293,1416.039828
180.552948,852,1421.616801
279.157291,332,1423.823137
-23.093424,182,1425.017486
180.925413,297,1426.977778
-161.834895,350,1429.304091
-4.865117,146,1430.298731
19.794905,184,1431.508129
35.419152,123,1432.344257
230.360109,201,1433.655986
-17.612647,111,1434.39557
274.629882,490,1437.614063
150.414349,1000,1444.111698
-19.611361,130,1444.962327
277.420492,278,1446.760835
-21.113587,265,1448.512098
267.459258,240,1450.090488
7.601184,244,1451.687729
-23.344098,206,1453.023434
130.205012,472,1456.147377
179.868869,322,1458.241838
-29.086707,172,1459.399489
-18.315191,153,1460.391249
190.122914,377,1462.854095
-21.220511,143,1463.795728
10.044065,231,1465.306445
30.918023,160,1466.359591
-32.648132,314,1468.410947
60.863579,245,1470.025687
33.464475,118,1470.794294
15.190744,183,1472.003688
197.964337,736,1476.840979
294.094057,336,1479.028806
313.704043,367,1481.388562
-38.810404,252,1483.053795
-89.284263,86,1483.629861
-8.232592,268,1485.418106
266.25816,310,1487.442566
21.349323,165,1488.505237
248.10326,426,1491.285072
-4.987793,176,1492.39324
252.630544,568,1496.084263
30.912834,168,1497.183192
25.496577,169,1498.285841
242.870975,256,1499.950548
168.041597,390,1502.551921
174.716478,384,1505.040286
31.037729,194,1506.318141
265.09258,360,1508.657993
265.614181,448,1511.592846
41.802985,182,1512.808349
21.055055,207,1514.185062
-24.167231,101,1514.848664
54.889283,139,1515.743288
243.487167,209,1517.117999
269.886428,219,1518.57075
-285.823362,167,1519.65941
9.245372,158,1520.690571
243.942331,287,1522.575867
-17.968822,241,1524.180647
104.336923,894,1530.058117
202.663293,284,1531.94822
-35.772529,246,1533.541481
277.789006,528,1537.016014
153.893322,262,1538.747294
43.872327,126,1539.558392
208.06975,261,1541.293254
26.36049,1000,1547.840446
-88.609719,89,1548.427559
228.351043,359,1550.773222
199.457589,293,1552.662006
65.177646,173,1553.818204
-10.949922,196,1555.086884
286.214829,274,1556.887143
-7.268523,125,1557.75181
-120.109476,187,1558.999494
227.917247,360,1561.354314
2.733863,131,1562.211428
-53.61424,191,1563.445091
278.158074,425,1566.267918
-63.305597,256,1567.960653
-192.203081,380,1570.478024
-32.646284,262,1572.195439
-77.719451,95,1572.817737
245.418738,316,1574.870055
-95.911429,246,1576.491295
225.511589,240,1578.063515
227.029422,273,1579.86181
237.710967,238,1581.416526
