#{"t_start": 1734419833.1969223, "env_id": "CustomLunarLander-v3"}
r,l,t
-299.045184,508,1328.39729
-257.855893,486,1332.76603
262.871734,325,1335.626639
-103.289256,339,1338.693624
-67.582706,338,1341.755605
0.259575,160,1343.200599
-239.81053,529,1347.98045
242.83944,519,1352.666211
-91.904921,171,1354.164439
228.625663,321,1357.057365
-191.814234,178,1358.669649
255.154172,330,1361.62158
-95.471204,216,1363.551867
-257.716979,259,1365.850303
-21.300046,151,1367.199003
-64.135922,127,1368.400787
225.301321,395,1372.017172
-2.528689,199,1373.860384
12.057885,208,1375.739006
-27.043972,311,1378.514432
-0.696154,316,1381.308827
-36.649864,143,1382.579167
-272.822174,408,1386.182186
225.667038,379,1389.508821
-273.791251,592,1394.784057
-82.809814,215,1396.684815
239.406143,530,1401.401678
238.862895,333,1404.349093
-59.338469,216,1406.28389
-47.328691,356,1409.390296
-51.560497,709,1415.731848
-41.020056,178,1417.320701
-15.528435,347,1420.360672
-71.362738,246,1422.535129
228.092694,654,1428.319474
-90.772559,236,1430.418535
-10.687546,453,1434.438145
234.100724,375,1437.748793
-163.694126,192,1439.431226
-142.57395,532,1444.18371
241.689854,451,1448.224942
33.512189,202,1450.040708
222.086016,356,1453.21706
188.703816,373,1456.497546
-43.369957,287,1459.009885
-42.016095,203,1460.807311
-219.636247,182,1462.433571
-1.043437,261,1464.714557
-217.178834,231,1466.769848
-55.011319,359,1469.982137
-18.265111,187,1471.676749
-173.989385,112,1472.693916
-21.883318,190,1474.379658
-103.609071,160,1475.772862
-77.29909,239,1477.906195
-64.614287,267,1480.260557
-93.415895,311,1483.020427
-107.090884,300,1485.704022
-34.33045,182,1487.343786
-214.852889,300,1490.023179
196.39193,463,1494.163289
-92.424464,325,1497.062362
10.69372,1000,1505.855944
221.589246,493,1510.200219
285.463255,311,1512.984621
-70.009507,445,1516.924494
-221.616225,159,1518.335179
236.387651,307,1521.043041
228.687856,407,1524.662694
-67.296513,254,1526.92254
272.959359,347,1530.012581
30.695633,164,1531.477492
202.774904,543,1536.265014
-48.012224,213,1538.145294
-13.529209,219,1540.057579
-179.646132,280,1542.567919
-59.836826,318,1545.400451
-105.835451,487,1549.725149
-236.492547,453,1553.757874
236.704366,406,1557.380544
265.574286,369,1560.607004
119.85467,485,1564.923184
236.979823,306,1567.629221
246.676391,442,1571.505315
-72.945556,349,1574.619222
209.561,249,1576.83819
185.341389,581,1581.962947
-51.733638,249,1584.157284
-177.333464,128,1585.28796
192.304331,675,1591.256868
-72.779699,192,1592.9976
-148.502967,199,1594.782869
-282.018075,295,1597.402262
-81.375679,213,1599.281668
-273.020192,311,1602.045084
-146.218121,214,1603.914337
43.132242,261,1606.268729
242.866352,364,1609.451724
84.702979,729,1615.941172
-261.37881,244,1618.200158
-48.762656,220,1620.118445
-20.319211,246,1622.294946
-48.250601,200,1624.044686
190.04777,612,1629.419288
8.425953,200,1631.176052
189.76419,581,1636.319893
255.749522,423,1640.043643
238.205122,449,1644.034685
-12.361578,253,1646.29551
-23.891485,1000,1655.113532
-24.63824,335,1658.060106
-272.97143,503,1662.52546
-30.518552,249,1664.71677
-36.437932,252,1666.965265
-180.04581,177,1668.514989
202.003349,499,1672.948157
252.52408,341,1675.96209
-28.186487,1000,1684.876933
217.304448,618,1690.339562
215.537378,570,1695.388313
14.277657,266,1697.791334
250.276551,325,1700.625242
-101.893783,191,1702.306665
9.844943,234,1704.378969
220.294596,674,1710.320098
-16.36466,206,1712.12489
-86.96958,353,1715.273832
257.859582,377,1718.63848
-2.390999,244,1720.766316
-155.58963,224,1722.746133
251.725841,320,1725.593104
235.071893,350,1728.707265
-65.388734,359,1731.956169
225.218502,249,1734.166943
246.989785,414,1737.84966
-60.138852,249,1740.084042
9.951918,214,1741.983818
-57.142233,248,1744.162642
-4.592443,251,1746.379334
-230.373682,307,1749.0862
22.934071,1000,1757.922204
259.71739,290,1760.459705
157.172438,520,1765.071728
202.30722,428,1768.858437
279.7973,370,1772.120713
-142.084393,318,1774.897111
223.86558,540,1779.677808
89.992979,649,1786.610741
28.418901,279,1789.107648
-195.840037,194,1790.846375
316.314172,221,1792.79636
141.013852,587,1798.022262
-24.143792,195,1799.751504
241.347657,512,1804.277333
250.510733,393,1807.761531
-65.022432,317,1810.566234
239.385173,516,1815.111837
199.309058,546,1819.94558
-14.664159,162,1821.375855
229.139184,330,1824.346768
217.953186,377,1827.664841
141.050555,589,1832.860878
-22.415787,297,1835.45944
264.554391,264,1837.829473
-51.664327,251,1840.052819
-36.776775,318,1842.898725
193.082594,340,1845.90584
278.075465,418,1849.596803
-194.307416,229,1851.670078
-39.738019,201,1853.437333
144.844972,564,1858.56658
-79.33896,329,1861.506493
34.926773,1000,1870.389082
251.688206,338,1873.381999
171.360158,631,1879.017673
124.592296,691,1885.098512
-181.751011,242,1887.241947
-116.419772,251,1889.455209
-121.206068,348,1892.513786
119.506558,587,1897.712455
66.47046,660,1903.555222
204.438656,434,1907.38863
259.234821,419,1911.091468
252.40674,363,1914.316958
229.956149,394,1917.785446
254.658756,335,1920.774502
-183.064106,276,1923.228015
176.995687,451,1927.23879
-374.572377,406,1930.794857
-7.529373,238,1932.888665
-74.280964,275,1935.318696
-32.673551,269,1937.749561
195.575197,508,1942.231413
176.680281,598,1947.529846
249.891228,372,1950.793107
-55.551975,210,1952.682395
-33.854168,233,1954.71718
-220.105431,341,1957.705941
231.434851,491,1962.041004
7.721287,101,1962.935619
200.388929,714,1969.245098
278.583857,345,1972.272666
-156.0859,108,1973.2198
-164.252022,131,1974.370464
-47.748604,213,1976.263244
195.084157,494,1980.620865
153.329848,435,1984.411895
249.469118,300,1987.086407
275.716409,288,1989.634764
188.369202,357,1992.797748
-29.893723,344,1995.853635
-34.872335,260,1998.151678
-308.408591,292,2000.749242
-196.895199,194,2002.470012
219.42686,374,2005.791693
197.444566,391,2009.236868
-61.52538,134,2010.436694
203.500477,381,2013.782696
-298.886404,629,2019.350923
-188.750086,379,2022.743423
-306.932132,287,2025.28011
-104.319903,366,2028.545358
-448.342551,238,2030.699162
-260.527534,309,2033.407863
228.661986,436,2037.254332
-94.737836,80,2037.972498
-90.057299,358,2041.14145
-65.622041,221,2043.11337
-48.350589,378,2046.464859
165.694557,573,2051.590282
-268.457555,300,2054.257336
236.391884,320,2057.087727
234.718427,318,2059.906123
-214.223613,813,2067.143186
269.852081,334,2070.120614
-32.709771,1000,2079.062277
-31.399397,207,2080.896549
-54.202617,291,2083.459049
-262.628991,464,2087.533964
-93.300283,312,2090.274831
-106.833079,379,2093.647014
244.564242,329,2096.533919
214.814061,444,2100.458686
211.70168,398,2104.011333
219.662369,370,2107.259832
118.515319,799,2114.322323
247.554397,384,2117.704762
-288.806065,316,2120.514687
179.848203,453,2124.511957
-6.428177,219,2126.518431
-60.080543,419,2130.233315
-20.840816,322,2133.108222
268.303183,305,2135.810265
-47.340857,299,2138.465627
244.123382,430,2142.215382
248.341083,378,2145.591203
